Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
american sniper,1,Is title 'american sniper' original Netflix content?,Answer No,15,"Is Netflix title 'american sniper' a Series, Movie, or Documentary?",Answer Movie
i soliti idioti,1,Is title 'i soliti idioti' original Netflix content?,Answer No,15,"Is Netflix title 'i soliti idioti' a Series, Movie, or Documentary?",Answer Series
i still see you,1,Is title 'i still see you' original Netflix content?,Answer No,15,"Is Netflix title 'i still see you' a Series, Movie, or Documentary?",Answer Movie
new trial,1,Is title 'new trial' original Netflix content?,Answer: No,9,"Is Netflix title 'new trial' a Series, Movie, or Documentary?",Answer Movie
heist,1,Is title 'heist' original Netflix content?,Answer Yes,5,"Is Netflix title 'heist' a Series, Movie, or Documentary?",Answer Series
halloween kills,1,Is title 'halloween kills' original Netflix content?,Answer No,15,"Is Netflix title 'halloween kills' a Series, Movie, or Documentary?",Answer Movie
bikers kental 2,1,Is title 'bikers kental 2' original Netflix content?,Answer No,15,"Is Netflix title 'bikers kental 2' a Series, Movie, or Documentary?",Answer Movie
brooklyn 2015,1,Is title 'brooklyn 2015' original Netflix content?,Answer No,13,"Is Netflix title 'brooklyn 2015' a Series, Movie, or Documentary?",Answer Movie
la novia 2015,1,Is title 'la novia 2015' original Netflix content?,Answer No,13,"Is Netflix title 'la novia 2015' a Series, Movie, or Documentary?",Answer Movie
il primo natale,1,Is title 'il primo natale' original Netflix content?,Answer No,15,"Is Netflix title 'il primo natale' a Series, Movie, or Documentary?",Answer Movie
addicted 2014,1,Is title 'addicted 2014' original Netflix content?,Answer No,13,"Is Netflix title 'addicted 2014' a Series, Movie, or Documentary?",Answer Movie
reprisal 2018,1,Is title 'reprisal 2018' original Netflix content?,Answer No,13,"Is Netflix title 'reprisal 2018' a Series, Movie, or Documentary?",Answer Series
top end wedding,1,Is title 'top end wedding' original Netflix content?,Answer No,15,"Is Netflix title 'top end wedding' a Series, Movie, or Documentary?",Answer Movie
lethal weapon 3,1,Is title 'lethal weapon 3' original Netflix content?,Answer No,15,"Is Netflix title 'lethal weapon 3' a Series, Movie, or Documentary?",Answer Movie
chaahat,1,Is title 'chaahat' original Netflix content?,Answer No,7,"Is Netflix title 'chaahat' a Series, Movie, or Documentary?",Answer Movie
body cam 2020,1,Is title 'body cam 2020' original Netflix content?,Answer No,13,"Is Netflix title 'body cam 2020' a Series, Movie, or Documentary?",Answer Movie
new york minute,1,Is title 'new york minute' original Netflix content?,Answer No,15,"Is Netflix title 'new york minute' a Series, Movie, or Documentary?",Answer Movie
earthquake bird,1,Is title 'earthquake bird' original Netflix content?,Answer Yes,15,"Is Netflix title 'earthquake bird' a Series, Movie, or Documentary?",Answer Movie
pandora,1,Is title 'pandora' original Netflix content?,Answer No,7,"Is Netflix title 'pandora' a Series, Movie, or Documentary?",Answer Series
cado dalle nubi,1,Is title 'cado dalle nubi' original Netflix content?,Answer No,15,"Is Netflix title 'cado dalle nubi' a Series, Movie, or Documentary?",Answer Movie
a menina ndigo,1,Is title 'a menina ndigo' original Netflix content?,Answer: No,14,"Is Netflix title 'a menina ndigo' a Series, Movie, or Documentary?",Answer Movie
glorious 2018,1,Is title 'glorious 2018' original Netflix content?,Answer: No,13,"Is Netflix title 'glorious 2018' a Series, Movie, or Documentary?",Answer Movie
despicable me 2,1,Is title 'despicable me 2' original Netflix content?,Answer No,15,"Is Netflix title 'despicable me 2' a Series, Movie, or Documentary?",Answer Movie
no reservations,1,Is title 'no reservations' original Netflix content?,Answer No,15,"Is Netflix title 'no reservations' a Series, Movie, or Documentary?",Answer Series
insider,1,Is title 'insider' original Netflix content?,Answer No,7,"Is Netflix title 'insider' a Series, Movie, or Documentary?","Answer: It could refer to multiple titles on Netflix, so without more specific information, it is unclear whether it is a Series, Movie, or Documentary."
one lagos night,1,Is title 'one lagos night' original Netflix content?,Answer: No,15,"Is Netflix title 'one lagos night' a Series, Movie, or Documentary?",Answer Movie
good luck chuck,1,Is title 'good luck chuck' original Netflix content?,Answer No,15,"Is Netflix title 'good luck chuck' a Series, Movie, or Documentary?",Answer Movie
behave  juzo,1,Is title 'behave  juzo' original Netflix content?,Answer: No,12,"Is Netflix title 'behave  juzo' a Series, Movie, or Documentary?",Answer: Series
phoenix  anka,1,Is title 'phoenix  anka' original Netflix content?,Answer No,13,"Is Netflix title 'phoenix  anka' a Series, Movie, or Documentary?",Answer: None of the above.
bedrag sson 1,1,Is title 'bedrag sson 1' original Netflix content?,Answer No,13,"Is Netflix title 'bedrag sson 1' a Series, Movie, or Documentary?",Answer Series
26 years  26,1,Is title '26 years  26' original Netflix content?,Answer: No,12,"Is Netflix title '26 years  26' a Series, Movie, or Documentary?",Answer: It is unclear as there is no known Netflix title with that exact name.
critical eleven,1,Is title 'critical eleven' original Netflix content?,Answer No,15,"Is Netflix title 'critical eleven' a Series, Movie, or Documentary?",Answer Movie
accepted 2006,1,Is title 'accepted 2006' original Netflix content?,Answer No,13,"Is Netflix title 'accepted 2006' a Series, Movie, or Documentary?",Answer Movie
our mighty yaya,1,Is title 'our mighty yaya' original Netflix content?,Answer: No,15,"Is Netflix title 'our mighty yaya' a Series, Movie, or Documentary?",Answer Movie
sophies choice,1,Is title 'sophies choice' original Netflix content?,Answer No,14,"Is Netflix title 'sophies choice' a Series, Movie, or Documentary?",Answer Movie
overlord 2018,1,Is title 'overlord 2018' original Netflix content?,Answer No,13,"Is Netflix title 'overlord 2018' a Series, Movie, or Documentary?",Answer Movie
fubar,1,Is title 'fubar' original Netflix content?,Answer No,5,"Is Netflix title 'fubar' a Series, Movie, or Documentary?",Answer: Movie
big eyes 2014,1,Is title 'big eyes 2014' original Netflix content?,Answer No,13,"Is Netflix title 'big eyes 2014' a Series, Movie, or Documentary?",Answer Movie
boomika hindi,1,Is title 'boomika hindi' original Netflix content?,Answer: No,13,"Is Netflix title 'boomika hindi' a Series, Movie, or Documentary?",Answer Movie
nonstop 2014,1,Is title 'nonstop 2014' original Netflix content?,Answer No,12,"Is Netflix title 'nonstop 2014' a Series, Movie, or Documentary?",Answer Movie
passport 2022,1,Is title 'passport 2022' original Netflix content?,"Answer: It is unclear if ""passport 2022"" is original Netflix content as more information is needed to confirm.",13,"Is Netflix title 'passport 2022' a Series, Movie, or Documentary?",Answer Series
maid,1,Is title 'maid' original Netflix content?,Answer Yes,4,"Is Netflix title 'maid' a Series, Movie, or Documentary?",Answer Series
fukrey,1,Is title 'fukrey' original Netflix content?,Answer No,6,"Is Netflix title 'fukrey' a Series, Movie, or Documentary?",Answer Movie
five feet apart,1,Is title 'five feet apart' original Netflix content?,Answer No,15,"Is Netflix title 'five feet apart' a Series, Movie, or Documentary?",Answer Movie
despicable me 3,1,Is title 'despicable me 3' original Netflix content?,Answer No,15,"Is Netflix title 'despicable me 3' a Series, Movie, or Documentary?",Answer Movie
aki and paw paw,1,Is title 'aki and paw paw' original Netflix content?,Answer No,15,"Is Netflix title 'aki and paw paw' a Series, Movie, or Documentary?",Answer Series
crazy wedding 3,1,Is title 'crazy wedding 3' original Netflix content?,Answer: No,15,"Is Netflix title 'crazy wedding 3' a Series, Movie, or Documentary?",Answer Movie
andala rakshasi,1,Is title 'andala rakshasi' original Netflix content?,Answer No,15,"Is Netflix title 'andala rakshasi' a Series, Movie, or Documentary?",Answer Movie
powder  polvo,1,Is title 'powder  polvo' original Netflix content?,Answer: No,13,"Is Netflix title 'powder  polvo' a Series, Movie, or Documentary?",Answer Movie
pitch perfect 2,1,Is title 'pitch perfect 2' original Netflix content?,Answer No,15,"Is Netflix title 'pitch perfect 2' a Series, Movie, or Documentary?",Answer Movie
fighting 2009,1,Is title 'fighting 2009' original Netflix content?,Answer No,13,"Is Netflix title 'fighting 2009' a Series, Movie, or Documentary?",Answer Movie
kung fu panda 3,1,Is title 'kung fu panda 3' original Netflix content?,Answer No,15,"Is Netflix title 'kung fu panda 3' a Series, Movie, or Documentary?",Answer Movie
louis ck 2017,1,Is title 'louis ck 2017' original Netflix content?,Answer Yes,13,"Is Netflix title 'louis ck 2017' a Series, Movie, or Documentary?",Answer Stand-up Comedy Special
ansm seveyim,1,Is title 'ansm seveyim' original Netflix content?,Answer: No,12,"Is Netflix title 'ansm seveyim' a Series, Movie, or Documentary?",Answer: It is not a known title on Netflix.
cheat,1,Is title 'cheat' original Netflix content?,Answer: No,5,"Is Netflix title 'cheat' a Series, Movie, or Documentary?",Answer Series
deranged,1,Is title 'deranged' original Netflix content?,Answer No,8,"Is Netflix title 'deranged' a Series, Movie, or Documentary?",Answer Series
one shot 2021,1,Is title 'one shot 2021' original Netflix content?,"Answer: It is unclear if ""One Shot 2021"" is original Netflix content without further information.",13,"Is Netflix title 'one shot 2021' a Series, Movie, or Documentary?",Answer Movie
selfless 2015,1,Is title 'selfless 2015' original Netflix content?,Answer No,13,"Is Netflix title 'selfless 2015' a Series, Movie, or Documentary?",Answer Movie
stardust 2007,1,Is title 'stardust 2007' original Netflix content?,Answer No,13,"Is Netflix title 'stardust 2007' a Series, Movie, or Documentary?",Answer Movie
my amnesia girl,1,Is title 'my amnesia girl' original Netflix content?,Answer No,15,"Is Netflix title 'my amnesia girl' a Series, Movie, or Documentary?",Answer Movie
the emoji movie,1,Is title 'the emoji movie' original Netflix content?,Answer No,15,"Is Netflix title 'the emoji movie' a Series, Movie, or Documentary?",Answer Movie
triangle 2009,1,Is title 'triangle 2009' original Netflix content?,Answer No,13,"Is Netflix title 'triangle 2009' a Series, Movie, or Documentary?",Answer Movie
remember 2015,1,Is title 'remember 2015' original Netflix content?,Answer No,13,"Is Netflix title 'remember 2015' a Series, Movie, or Documentary?",Answer Movie
fakes,1,Is title 'fakes' original Netflix content?,Answer: No,5,"Is Netflix title 'fakes' a Series, Movie, or Documentary?","Answer: It could be any of the three, as the title ""Fakes"" is not specific enough to determine whether it is a Series, Movie, or Documentary."
security 2017,1,Is title 'security 2017' original Netflix content?,Answer No,13,"Is Netflix title 'security 2017' a Series, Movie, or Documentary?",Answer Movie
the devils own,1,Is title 'the devils own' original Netflix content?,Answer No,14,"Is Netflix title 'the devils own' a Series, Movie, or Documentary?",Answer Movie
son of the mask,1,Is title 'son of the mask' original Netflix content?,Answer No,15,"Is Netflix title 'son of the mask' a Series, Movie, or Documentary?",Answer Movie
alcatraz 2018,1,Is title 'alcatraz 2018' original Netflix content?,Answer No,13,"Is Netflix title 'alcatraz 2018' a Series, Movie, or Documentary?","Answer: It could be a Series or a Documentary, depending on the specific content of the title."
sleepers 1996,1,Is title 'sleepers 1996' original Netflix content?,Answer No,13,"Is Netflix title 'sleepers 1996' a Series, Movie, or Documentary?",Answer Movie
the white tiger,1,Is title 'the white tiger' original Netflix content?,Answer Yes,15,"Is Netflix title 'the white tiger' a Series, Movie, or Documentary?",Answer Movie
katla,1,Is title 'katla' original Netflix content?,Answer Yes,5,"Is Netflix title 'katla' a Series, Movie, or Documentary?",Answer Series
dont breathe 2,1,Is title 'dont breathe 2' original Netflix content?,Answer No,14,"Is Netflix title 'dont breathe 2' a Series, Movie, or Documentary?",Answer Movie
freud,1,Is title 'freud' original Netflix content?,Answer Yes,5,"Is Netflix title 'freud' a Series, Movie, or Documentary?",Answer Series
identity 2003,1,Is title 'identity 2003' original Netflix content?,Answer No,13,"Is Netflix title 'identity 2003' a Series, Movie, or Documentary?",Answer Movie
on flux 2005,1,Is title 'on flux 2005' original Netflix content?,Answer No,12,"Is Netflix title 'on flux 2005' a Series, Movie, or Documentary?",Answer Movie
the love affair,1,Is title 'the love affair' original Netflix content?,Answer No,15,"Is Netflix title 'the love affair' a Series, Movie, or Documentary?",Answer Movie
prophecy,1,Is title 'prophecy' original Netflix content?,Answer: No,8,"Is Netflix title 'prophecy' a Series, Movie, or Documentary?","Answer: It could be any of the three options, as there are multiple titles with the name ""prophecy"" on Netflix."
only you 1994,1,Is title 'only you 1994' original Netflix content?,Answer No,13,"Is Netflix title 'only you 1994' a Series, Movie, or Documentary?",Answer Movie
the king,1,Is title 'the king' original Netflix content?,Answer No,8,"Is Netflix title 'the king' a Series, Movie, or Documentary?",Answer Movie
team foxcatcher,1,Is title 'team foxcatcher' original Netflix content?,Answer No,15,"Is Netflix title 'team foxcatcher' a Series, Movie, or Documentary?",Answer Documentary
your excellency,1,Is title 'your excellency' original Netflix content?,Answer No,15,"Is Netflix title 'your excellency' a Series, Movie, or Documentary?",Answer Movie
ninokuni,1,Is title 'ninokuni' original Netflix content?,Answer No,8,"Is Netflix title 'ninokuni' a Series, Movie, or Documentary?",Answer Movie
santo,1,Is title 'santo' original Netflix content?,Answer No,5,"Is Netflix title 'santo' a Series, Movie, or Documentary?","Answer: It could refer to multiple titles on Netflix, so without more specific information, it is unclear whether it is a Series, Movie, or Documentary."
youve got mail,1,Is title 'youve got mail' original Netflix content?,Answer No,14,"Is Netflix title 'youve got mail' a Series, Movie, or Documentary?",Answer Movie
devd,1,Is title 'devd' original Netflix content?,Answer No,4,"Is Netflix title 'devd' a Series, Movie, or Documentary?",Answer Movie
terim,1,Is title 'terim' original Netflix content?,Answer: No,5,"Is Netflix title 'terim' a Series, Movie, or Documentary?",Answer: It is not a known title on Netflix.
promises 2021,1,Is title 'promises 2021' original Netflix content?,Answer: Yes,13,"Is Netflix title 'promises 2021' a Series, Movie, or Documentary?",Answer: Documentary
problem child 3,1,Is title 'problem child 3' original Netflix content?,Answer No,15,"Is Netflix title 'problem child 3' a Series, Movie, or Documentary?",Answer Movie
marry me 2022,1,Is title 'marry me 2022' original Netflix content?,Answer: No,13,"Is Netflix title 'marry me 2022' a Series, Movie, or Documentary?",Answer Movie
breaking 2022,1,Is title 'breaking 2022' original Netflix content?,Answer: Yes,13,"Is Netflix title 'breaking 2022' a Series, Movie, or Documentary?",Answer Series
rabid,1,Is title 'rabid' original Netflix content?,Answer No,5,"Is Netflix title 'rabid' a Series, Movie, or Documentary?",Answer Movie
the breadwinner,1,Is title 'the breadwinner' original Netflix content?,Answer No,15,"Is Netflix title 'the breadwinner' a Series, Movie, or Documentary?",Answer Movie
ludik,1,Is title 'ludik' original Netflix content?,Answer: No,5,"Is Netflix title 'ludik' a Series, Movie, or Documentary?",Answer: It is not a known title on Netflix.
fenix,1,Is title 'fenix' original Netflix content?,Answer: No,5,"Is Netflix title 'fenix' a Series, Movie, or Documentary?",Answer: Series
never back down,1,Is title 'never back down' original Netflix content?,Answer No,15,"Is Netflix title 'never back down' a Series, Movie, or Documentary?",Answer Movie
voice 3  3,1,Is title 'voice 3  3' original Netflix content?,Answer No,10,"Is Netflix title 'voice 3  3' a Series, Movie, or Documentary?",Answer Series
duck duck goose,1,Is title 'duck duck goose' original Netflix content?,Answer No,15,"Is Netflix title 'duck duck goose' a Series, Movie, or Documentary?",Answer Movie
jackass forever,1,Is title 'jackass forever' original Netflix content?,Answer No,15,"Is Netflix title 'jackass forever' a Series, Movie, or Documentary?",Answer Movie
the book of eli,1,Is title 'the book of eli' original Netflix content?,Answer No,15,"Is Netflix title 'the book of eli' a Series, Movie, or Documentary?",Answer Movie
valor,1,Is title 'valor' original Netflix content?,Answer No,5,"Is Netflix title 'valor' a Series, Movie, or Documentary?",Answer Series
fan girl 2020,1,Is title 'fan girl 2020' original Netflix content?,Answer No,13,"Is Netflix title 'fan girl 2020' a Series, Movie, or Documentary?",Answer Movie
10 minutes gone,1,Is title '10 minutes gone' original Netflix content?,Answer No,15,"Is Netflix title '10 minutes gone' a Series, Movie, or Documentary?",Answer Movie
forgiven 2020,1,Is title 'forgiven 2020' original Netflix content?,Answer: No,13,"Is Netflix title 'forgiven 2020' a Series, Movie, or Documentary?",Answer Movie
gangster squad,1,Is title 'gangster squad' original Netflix content?,Answer No,14,"Is Netflix title 'gangster squad' a Series, Movie, or Documentary?",Answer Movie
ghost writer 2,1,Is title 'ghost writer 2' original Netflix content?,Answer No,14,"Is Netflix title 'ghost writer 2' a Series, Movie, or Documentary?",Answer Movie
the open house,1,Is title 'the open house' original Netflix content?,Answer Yes,14,"Is Netflix title 'the open house' a Series, Movie, or Documentary?",Answer Movie
spirit untamed,1,Is title 'spirit untamed' original Netflix content?,Answer No,14,"Is Netflix title 'spirit untamed' a Series, Movie, or Documentary?",Answer Movie
in the heights,1,Is title 'in the heights' original Netflix content?,Answer No,14,"Is Netflix title 'in the heights' a Series, Movie, or Documentary?",Answer Movie
quiet  piola,1,Is title 'quiet  piola' original Netflix content?,Answer: Yes,12,"Is Netflix title 'quiet  piola' a Series, Movie, or Documentary?",Answer Movie
gravity 2013,1,Is title 'gravity 2013' original Netflix content?,Answer No,12,"Is Netflix title 'gravity 2013' a Series, Movie, or Documentary?",Answer Movie
wu kong,1,Is title 'wu kong' original Netflix content?,Answer No,7,"Is Netflix title 'wu kong' a Series, Movie, or Documentary?",Answer Movie
born beautiful,1,Is title 'born beautiful' original Netflix content?,Answer: No,14,"Is Netflix title 'born beautiful' a Series, Movie, or Documentary?",Answer Movie
peter rabbit 2,1,Is title 'peter rabbit 2' original Netflix content?,Answer No,14,"Is Netflix title 'peter rabbit 2' a Series, Movie, or Documentary?",Answer Movie
a royal winter,1,Is title 'a royal winter' original Netflix content?,Answer No,14,"Is Netflix title 'a royal winter' a Series, Movie, or Documentary?",Answer Movie
the eye 2008,1,Is title 'the eye 2008' original Netflix content?,Answer No,12,"Is Netflix title 'the eye 2008' a Series, Movie, or Documentary?",Answer Movie
brammetje baas,1,Is title 'brammetje baas' original Netflix content?,Answer No,14,"Is Netflix title 'brammetje baas' a Series, Movie, or Documentary?",Answer Movie
the blue lagoon,1,Is title 'the blue lagoon' original Netflix content?,Answer No,15,"Is Netflix title 'the blue lagoon' a Series, Movie, or Documentary?",Answer Movie
kalagathalaivan,1,Is title 'kalagathalaivan' original Netflix content?,Answer: No,15,"Is Netflix title 'kalagathalaivan' a Series, Movie, or Documentary?",Answer Movie
mr  mrs cruz,1,Is title 'mr  mrs cruz' original Netflix content?,Answer: No,12,"Is Netflix title 'mr  mrs cruz' a Series, Movie, or Documentary?",Answer Movie
hostiles 2017,1,Is title 'hostiles 2017' original Netflix content?,Answer No,13,"Is Netflix title 'hostiles 2017' a Series, Movie, or Documentary?",Answer Movie
superhero movie,1,Is title 'superhero movie' original Netflix content?,Answer No,15,"Is Netflix title 'superhero movie' a Series, Movie, or Documentary?",Answer Movie
weed the people,1,Is title 'weed the people' original Netflix content?,Answer No,15,"Is Netflix title 'weed the people' a Series, Movie, or Documentary?",Answer Documentary
weather for two,1,Is title 'weather for two' original Netflix content?,Answer: No,15,"Is Netflix title 'weather for two' a Series, Movie, or Documentary?",Answer Movie
the hunt 2020,1,Is title 'the hunt 2020' original Netflix content?,Answer No,13,"Is Netflix title 'the hunt 2020' a Series, Movie, or Documentary?",Answer Movie
swat 2003,1,Is title 'swat 2003' original Netflix content?,Answer No,9,"Is Netflix title 'swat 2003' a Series, Movie, or Documentary?",Answer Movie
ola de crmenes,1,Is title 'ola de crmenes' original Netflix content?,Answer No,14,"Is Netflix title 'ola de crmenes' a Series, Movie, or Documentary?",Answer Series
how do you know,1,Is title 'how do you know' original Netflix content?,Answer No,15,"Is Netflix title 'how do you know' a Series, Movie, or Documentary?",Answer Movie
the last summer,1,Is title 'the last summer' original Netflix content?,Answer Yes,15,"Is Netflix title 'the last summer' a Series, Movie, or Documentary?",Answer Movie
se mi vuoi bene,1,Is title 'se mi vuoi bene' original Netflix content?,Answer: No,15,"Is Netflix title 'se mi vuoi bene' a Series, Movie, or Documentary?",Answer Series
the star 2017,1,Is title 'the star 2017' original Netflix content?,Answer No,13,"Is Netflix title 'the star 2017' a Series, Movie, or Documentary?",Answer Movie
american hustle,1,Is title 'american hustle' original Netflix content?,Answer No,15,"Is Netflix title 'american hustle' a Series, Movie, or Documentary?",Answer Movie
phir hera pheri,1,Is title 'phir hera pheri' original Netflix content?,Answer No,15,"Is Netflix title 'phir hera pheri' a Series, Movie, or Documentary?",Answer Movie
le prix  payer,1,Is title 'le prix  payer' original Netflix content?,Answer: No,14,"Is Netflix title 'le prix  payer' a Series, Movie, or Documentary?",Answer: Movie
love for sale 2,1,Is title 'love for sale 2' original Netflix content?,Answer: No,15,"Is Netflix title 'love for sale 2' a Series, Movie, or Documentary?",Answer Movie
korkusuz korkak,1,Is title 'korkusuz korkak' original Netflix content?,Answer: No,15,"Is Netflix title 'korkusuz korkak' a Series, Movie, or Documentary?",Answer Movie
get in  furie,1,Is title 'get in  furie' original Netflix content?,Answer No,13,"Is Netflix title 'get in  furie' a Series, Movie, or Documentary?",Answer Movie
kantara hindi,1,Is title 'kantara hindi' original Netflix content?,Answer: No,13,"Is Netflix title 'kantara hindi' a Series, Movie, or Documentary?",Answer: Series
triple frontier,1,Is title 'triple frontier' original Netflix content?,Answer Yes,15,"Is Netflix title 'triple frontier' a Series, Movie, or Documentary?",Answer Movie
mosul,1,Is title 'mosul' original Netflix content?,Answer Yes,5,"Is Netflix title 'mosul' a Series, Movie, or Documentary?",Answer Movie
the gift 2000,1,Is title 'the gift 2000' original Netflix content?,Answer No,13,"Is Netflix title 'the gift 2000' a Series, Movie, or Documentary?",Answer Movie
a witches ball,1,Is title 'a witches ball' original Netflix content?,Answer No,14,"Is Netflix title 'a witches ball' a Series, Movie, or Documentary?",Answer Movie
come tu mi vuoi,1,Is title 'come tu mi vuoi' original Netflix content?,Answer: No,15,"Is Netflix title 'come tu mi vuoi' a Series, Movie, or Documentary?",Answer Movie
armageddon time,1,Is title 'armageddon time' original Netflix content?,Answer No,15,"Is Netflix title 'armageddon time' a Series, Movie, or Documentary?",Answer Movie
the big wedding,1,Is title 'the big wedding' original Netflix content?,Answer No,15,"Is Netflix title 'the big wedding' a Series, Movie, or Documentary?",Answer Movie
cuori,1,Is title 'cuori' original Netflix content?,Answer: No,5,"Is Netflix title 'cuori' a Series, Movie, or Documentary?","Answer: It could be either a Series or Movie, without more specific information."
mi amigo alexis,1,Is title 'mi amigo alexis' original Netflix content?,Answer: No,15,"Is Netflix title 'mi amigo alexis' a Series, Movie, or Documentary?",Answer Movie
paprika,1,Is title 'paprika' original Netflix content?,Answer No,7,"Is Netflix title 'paprika' a Series, Movie, or Documentary?",Answer Movie
avvai shanmughi,1,Is title 'avvai shanmughi' original Netflix content?,Answer No,15,"Is Netflix title 'avvai shanmughi' a Series, Movie, or Documentary?",Answer Movie
mirai,1,Is title 'mirai' original Netflix content?,Answer No,5,"Is Netflix title 'mirai' a Series, Movie, or Documentary?",Answer Movie
the song 2014,1,Is title 'the song 2014' original Netflix content?,Answer No,13,"Is Netflix title 'the song 2014' a Series, Movie, or Documentary?",Answer Movie
fack ju ghte 2,1,Is title 'fack ju ghte 2' original Netflix content?,Answer No,14,"Is Netflix title 'fack ju ghte 2' a Series, Movie, or Documentary?",Answer Movie
andainya takdir,1,Is title 'andainya takdir' original Netflix content?,Answer: No,15,"Is Netflix title 'andainya takdir' a Series, Movie, or Documentary?",Answer: Series
blackout 2022,1,Is title 'blackout 2022' original Netflix content?,Answer: No,13,"Is Netflix title 'blackout 2022' a Series, Movie, or Documentary?",Answer Movie
pingu,1,Is title 'pingu' original Netflix content?,Answer No,5,"Is Netflix title 'pingu' a Series, Movie, or Documentary?",Answer Series
hitam,1,Is title 'hitam' original Netflix content?,Answer: No,5,"Is Netflix title 'hitam' a Series, Movie, or Documentary?",Answer: It could be any of the three options without more specific information.
married to work,1,Is title 'married to work' original Netflix content?,Answer: No,15,"Is Netflix title 'married to work' a Series, Movie, or Documentary?",Answer Series
angels  demons,1,Is title 'angels  demons' original Netflix content?,Answer No,14,"Is Netflix title 'angels  demons' a Series, Movie, or Documentary?",Answer Movie
the mule 2014,1,Is title 'the mule 2014' original Netflix content?,Answer No,13,"Is Netflix title 'the mule 2014' a Series, Movie, or Documentary?",Answer Movie
jiva,1,Is title 'jiva' original Netflix content?,Answer Yes,4,"Is Netflix title 'jiva' a Series, Movie, or Documentary?",Answer Series
the perfect guy,1,Is title 'the perfect guy' original Netflix content?,Answer No,15,"Is Netflix title 'the perfect guy' a Series, Movie, or Documentary?",Answer Movie
the duke 2021,1,Is title 'the duke 2021' original Netflix content?,Answer: Yes,13,"Is Netflix title 'the duke 2021' a Series, Movie, or Documentary?",Answer Movie
moo 2   2,1,Is title 'moo 2   2' original Netflix content?,Answer: No,9,"Is Netflix title 'moo 2   2' a Series, Movie, or Documentary?","Answer: It is unclear as ""Moo 2 2"" does not appear to be a known title on Netflix."
hometown,1,Is title 'hometown' original Netflix content?,"Answer: It is unclear as there are multiple shows with the title ""Hometown.""",8,"Is Netflix title 'hometown' a Series, Movie, or Documentary?",Answer: Series
the grey 2011,1,Is title 'the grey 2011' original Netflix content?,Answer No,13,"Is Netflix title 'the grey 2011' a Series, Movie, or Documentary?",Answer Movie
office invasion,1,Is title 'office invasion' original Netflix content?,Answer No,15,"Is Netflix title 'office invasion' a Series, Movie, or Documentary?",Answer Movie
doidas e santas,1,Is title 'doidas e santas' original Netflix content?,Answer: No,15,"Is Netflix title 'doidas e santas' a Series, Movie, or Documentary?",Answer Movie
rat race 2001,1,Is title 'rat race 2001' original Netflix content?,Answer No,13,"Is Netflix title 'rat race 2001' a Series, Movie, or Documentary?",Answer Movie
escape  flukt,1,Is title 'escape  flukt' original Netflix content?,Answer: No,13,"Is Netflix title 'escape  flukt' a Series, Movie, or Documentary?",Answer Movie
ps i love you,1,Is title 'ps i love you' original Netflix content?,Answer No,13,"Is Netflix title 'ps i love you' a Series, Movie, or Documentary?",Answer Movie
the danish girl,1,Is title 'the danish girl' original Netflix content?,Answer No,15,"Is Netflix title 'the danish girl' a Series, Movie, or Documentary?",Answer Movie
the twin 2022,1,Is title 'the twin 2022' original Netflix content?,Answer: Yes,13,"Is Netflix title 'the twin 2022' a Series, Movie, or Documentary?",Answer Series
the tiger,1,Is title 'the tiger' original Netflix content?,Answer: No,9,"Is Netflix title 'the tiger' a Series, Movie, or Documentary?","Answer: It could refer to either a Series or a Movie, as there are multiple titles on Netflix with ""The Tiger"" in them."
museums of rome,1,Is title 'museums of rome' original Netflix content?,Answer No,15,"Is Netflix title 'museums of rome' a Series, Movie, or Documentary?",Answer Documentary
red dawn 2012,1,Is title 'red dawn 2012' original Netflix content?,Answer No,13,"Is Netflix title 'red dawn 2012' a Series, Movie, or Documentary?",Answer Movie
men in black ii,1,Is title 'men in black ii' original Netflix content?,Answer No,15,"Is Netflix title 'men in black ii' a Series, Movie, or Documentary?",Answer Movie
the town 2010,1,Is title 'the town 2010' original Netflix content?,Answer No,13,"Is Netflix title 'the town 2010' a Series, Movie, or Documentary?",Answer Movie
red snow 2019,1,Is title 'red snow 2019' original Netflix content?,Answer: No,13,"Is Netflix title 'red snow 2019' a Series, Movie, or Documentary?",Answer Movie
finding hubby 2,1,Is title 'finding hubby 2' original Netflix content?,Answer: No,15,"Is Netflix title 'finding hubby 2' a Series, Movie, or Documentary?",Answer Series
robert the doll,1,Is title 'robert the doll' original Netflix content?,Answer No,15,"Is Netflix title 'robert the doll' a Series, Movie, or Documentary?",Answer Movie
the tower,1,Is title 'the tower' original Netflix content?,Answer: No,9,"Is Netflix title 'the tower' a Series, Movie, or Documentary?","Answer: It could refer to either a Series or a Movie, as there are multiple titles with ""The Tower"" on Netflix."
prince,1,Is title 'prince' original Netflix content?,Answer: No,6,"Is Netflix title 'prince' a Series, Movie, or Documentary?","Answer: It could refer to multiple titles on Netflix, so without more specific information, it is unclear whether it is a Series, Movie, or Documentary."
cutthroat island,1,Is title 'cutthroat island' original Netflix content?,Answer No,16,"Is Netflix title 'cutthroat island' a Series, Movie, or Documentary?",Answer Movie
