Clean_Title,Title_Counts,Clean_Title_Char_Len,is_original_Prompt,Content_Type_Prompt
how i became a gangster  jak zostalem gangsterem historia prawdziwa,1,67,Is title 'how i became a gangster  jak zostalem gangsterem historia prawdziwa' original Netflix content?,"Is Netflix title 'how i became a gangster  jak zostalem gangsterem historia prawdziwa' a Series, Movie, or Documentary?"
the cook of castamar,1,20,Is title 'the cook of castamar' original Netflix content?,"Is Netflix title 'the cook of castamar' a Series, Movie, or Documentary?"
our universe limited series,1,27,Is title 'our universe limited series' original Netflix content?,"Is Netflix title 'our universe limited series' a Series, Movie, or Documentary?"
run on,1,6,Is title 'run on' original Netflix content?,"Is Netflix title 'run on' a Series, Movie, or Documentary?"
class,1,5,Is title 'class' original Netflix content?,"Is Netflix title 'class' a Series, Movie, or Documentary?"
heartbreak high,1,15,Is title 'heartbreak high' original Netflix content?,"Is Netflix title 'heartbreak high' a Series, Movie, or Documentary?"
rebelde way 2002 temporada 2,1,28,Is title 'rebelde way 2002 temporada 2' original Netflix content?,"Is Netflix title 'rebelde way 2002 temporada 2' a Series, Movie, or Documentary?"
tale of the nine tailed,1,23,Is title 'tale of the nine tailed' original Netflix content?,"Is Netflix title 'tale of the nine tailed' a Series, Movie, or Documentary?"
the man from toronto,1,20,Is title 'the man from toronto' original Netflix content?,"Is Netflix title 'the man from toronto' a Series, Movie, or Documentary?"
demon slayer kimetsu no yaiba entertainment district arc,1,56,Is title 'demon slayer kimetsu no yaiba entertainment district arc' original Netflix content?,"Is Netflix title 'demon slayer kimetsu no yaiba entertainment district arc' a Series, Movie, or Documentary?"
day shift,1,9,Is title 'day shift' original Netflix content?,"Is Netflix title 'day shift' a Series, Movie, or Documentary?"
the good nurse,1,14,Is title 'the good nurse' original Netflix content?,"Is Netflix title 'the good nurse' a Series, Movie, or Documentary?"
love at first kiss  eres t,1,26,Is title 'love at first kiss  eres t' original Netflix content?,"Is Netflix title 'love at first kiss  eres t' a Series, Movie, or Documentary?"
pedro el escamoso,1,17,Is title 'pedro el escamoso' original Netflix content?,"Is Netflix title 'pedro el escamoso' a Series, Movie, or Documentary?"
tonight youre sleeping with me  dzisiaj pisz zemn,1,49,Is title 'tonight youre sleeping with me  dzisiaj pisz zemn' original Netflix content?,"Is Netflix title 'tonight youre sleeping with me  dzisiaj pisz zemn' a Series, Movie, or Documentary?"
alba,1,4,Is title 'alba' original Netflix content?,"Is Netflix title 'alba' a Series, Movie, or Documentary?"
dc super hero girls 2019,1,24,Is title 'dc super hero girls 2019' original Netflix content?,"Is Netflix title 'dc super hero girls 2019' a Series, Movie, or Documentary?"
in his shadow  le roi des ombres,1,32,Is title 'in his shadow  le roi des ombres' original Netflix content?,"Is Netflix title 'in his shadow  le roi des ombres' a Series, Movie, or Documentary?"
penguins of madagascar the movie,1,32,Is title 'penguins of madagascar the movie' original Netflix content?,"Is Netflix title 'penguins of madagascar the movie' a Series, Movie, or Documentary?"
sniper ghost shooter,1,20,Is title 'sniper ghost shooter' original Netflix content?,"Is Netflix title 'sniper ghost shooter' a Series, Movie, or Documentary?"
spenser confidential,1,20,Is title 'spenser confidential' original Netflix content?,"Is Netflix title 'spenser confidential' a Series, Movie, or Documentary?"
the adam project,1,16,Is title 'the adam project' original Netflix content?,"Is Netflix title 'the adam project' a Series, Movie, or Documentary?"
the last dance limited series,1,29,Is title 'the last dance limited series' original Netflix content?,"Is Netflix title 'the last dance limited series' a Series, Movie, or Documentary?"
godless limited series,1,22,Is title 'godless limited series' original Netflix content?,"Is Netflix title 'godless limited series' a Series, Movie, or Documentary?"
echoes limited series,1,21,Is title 'echoes limited series' original Netflix content?,"Is Netflix title 'echoes limited series' a Series, Movie, or Documentary?"
flower of evil,1,14,Is title 'flower of evil' original Netflix content?,"Is Netflix title 'flower of evil' a Series, Movie, or Documentary?"
is it cake,1,10,Is title 'is it cake' original Netflix content?,"Is Netflix title 'is it cake' a Series, Movie, or Documentary?"
mrs chatterjee vs norway    vs,1,30,Is title 'mrs chatterjee vs norway    vs' original Netflix content?,"Is Netflix title 'mrs chatterjee vs norway    vs' a Series, Movie, or Documentary?"
the midnight club,1,17,Is title 'the midnight club' original Netflix content?,"Is Netflix title 'the midnight club' a Series, Movie, or Documentary?"
itaewon class,1,13,Is title 'itaewon class' original Netflix content?,"Is Netflix title 'itaewon class' a Series, Movie, or Documentary?"
noah 2014,1,9,Is title 'noah 2014' original Netflix content?,"Is Netflix title 'noah 2014' a Series, Movie, or Documentary?"
rrr hindi,1,9,Is title 'rrr hindi' original Netflix content?,"Is Netflix title 'rrr hindi' a Series, Movie, or Documentary?"
yes day,1,7,Is title 'yes day' original Netflix content?,"Is Netflix title 'yes day' a Series, Movie, or Documentary?"
you do you  merve klt,1,21,Is title 'you do you  merve klt' original Netflix content?,"Is Netflix title 'you do you  merve klt' a Series, Movie, or Documentary?"
a girl and an astronaut,1,23,Is title 'a girl and an astronaut' original Netflix content?,"Is Netflix title 'a girl and an astronaut' a Series, Movie, or Documentary?"
close to home murder in the coalfield,1,37,Is title 'close to home murder in the coalfield' original Netflix content?,"Is Netflix title 'close to home murder in the coalfield' a Series, Movie, or Documentary?"
oscars oasis,1,12,Is title 'oscars oasis' original Netflix content?,"Is Netflix title 'oscars oasis' a Series, Movie, or Documentary?"
pale moon,1,9,Is title 'pale moon' original Netflix content?,"Is Netflix title 'pale moon' a Series, Movie, or Documentary?"
the age of adaline,1,18,Is title 'the age of adaline' original Netflix content?,"Is Netflix title 'the age of adaline' a Series, Movie, or Documentary?"
law school,1,10,Is title 'law school' original Netflix content?,"Is Netflix title 'law school' a Series, Movie, or Documentary?"
roman empire commodus reign of blood,1,36,Is title 'roman empire commodus reign of blood' original Netflix content?,"Is Netflix title 'roman empire commodus reign of blood' a Series, Movie, or Documentary?"
swat 2003,1,9,Is title 'swat 2003' original Netflix content?,"Is Netflix title 'swat 2003' a Series, Movie, or Documentary?"
spirit riding free riding academy part 1,1,40,Is title 'spirit riding free riding academy part 1' original Netflix content?,"Is Netflix title 'spirit riding free riding academy part 1' a Series, Movie, or Documentary?"
spy kids all the time in the world,1,34,Is title 'spy kids all the time in the world' original Netflix content?,"Is Netflix title 'spy kids all the time in the world' a Series, Movie, or Documentary?"
the rational life,1,17,Is title 'the rational life' original Netflix content?,"Is Netflix title 'the rational life' a Series, Movie, or Documentary?"
tyler perrys the family that preys,1,34,Is title 'tyler perrys the family that preys' original Netflix content?,"Is Netflix title 'tyler perrys the family that preys' a Series, Movie, or Documentary?"
vip 2019,1,8,Is title 'vip 2019' original Netflix content?,"Is Netflix title 'vip 2019' a Series, Movie, or Documentary?"
white house down,1,16,Is title 'white house down' original Netflix content?,"Is Netflix title 'white house down' a Series, Movie, or Documentary?"
american hustle,1,15,Is title 'american hustle' original Netflix content?,"Is Netflix title 'american hustle' a Series, Movie, or Documentary?"
back to the future 1985,1,23,Is title 'back to the future 1985' original Netflix content?,"Is Netflix title 'back to the future 1985' a Series, Movie, or Documentary?"
below zero  bajocero,1,20,Is title 'below zero  bajocero' original Netflix content?,"Is Netflix title 'below zero  bajocero' a Series, Movie, or Documentary?"
cat,1,3,Is title 'cat' original Netflix content?,"Is Netflix title 'cat' a Series, Movie, or Documentary?"
disconnect the wedding planner,1,30,Is title 'disconnect the wedding planner' original Netflix content?,"Is Netflix title 'disconnect the wedding planner' a Series, Movie, or Documentary?"
green mothers club,1,18,Is title 'green mothers club' original Netflix content?,"Is Netflix title 'green mothers club' a Series, Movie, or Documentary?"
green snake   2,1,15,Is title 'green snake   2' original Netflix content?,"Is Netflix title 'green snake   2' a Series, Movie, or Documentary?"
haikyu ii,1,9,Is title 'haikyu ii' original Netflix content?,"Is Netflix title 'haikyu ii' a Series, Movie, or Documentary?"
inception,1,9,Is title 'inception' original Netflix content?,"Is Netflix title 'inception' a Series, Movie, or Documentary?"
nobody sleeps in the woods tonight  w lesie dzi nie zanie nikt,1,62,Is title 'nobody sleeps in the woods tonight  w lesie dzi nie zanie nikt' original Netflix content?,"Is Netflix title 'nobody sleeps in the woods tonight  w lesie dzi nie zanie nikt' a Series, Movie, or Documentary?"
octonauts  the ring of fire,1,27,Is title 'octonauts  the ring of fire' original Netflix content?,"Is Netflix title 'octonauts  the ring of fire' a Series, Movie, or Documentary?"
selena the series part 1,1,24,Is title 'selena the series part 1' original Netflix content?,"Is Netflix title 'selena the series part 1' a Series, Movie, or Documentary?"
skull island,1,12,Is title 'skull island' original Netflix content?,"Is Netflix title 'skull island' a Series, Movie, or Documentary?"
the beast  la belva,1,19,Is title 'the beast  la belva' original Netflix content?,"Is Netflix title 'the beast  la belva' a Series, Movie, or Documentary?"
the boss baby get that baby,1,27,Is title 'the boss baby get that baby' original Netflix content?,"Is Netflix title 'the boss baby get that baby' a Series, Movie, or Documentary?"
the constant gardener,1,21,Is title 'the constant gardener' original Netflix content?,"Is Netflix title 'the constant gardener' a Series, Movie, or Documentary?"
this world cant tear me down,1,28,Is title 'this world cant tear me down' original Netflix content?,"Is Netflix title 'this world cant tear me down' a Series, Movie, or Documentary?"
lego ninjago masters of spinjitzu possession,1,44,Is title 'lego ninjago masters of spinjitzu possession' original Netflix content?,"Is Netflix title 'lego ninjago masters of spinjitzu possession' a Series, Movie, or Documentary?"
good doctor,1,11,Is title 'good doctor' original Netflix content?,"Is Netflix title 'good doctor' a Series, Movie, or Documentary?"
the amazing spiderman 2012,1,26,Is title 'the amazing spiderman 2012' original Netflix content?,"Is Netflix title 'the amazing spiderman 2012' a Series, Movie, or Documentary?"
deliver us from evil 2014,1,25,Is title 'deliver us from evil 2014' original Netflix content?,"Is Netflix title 'deliver us from evil 2014' a Series, Movie, or Documentary?"
war of trap,1,11,Is title 'war of trap' original Netflix content?,"Is Netflix title 'war of trap' a Series, Movie, or Documentary?"
wolf,1,4,Is title 'wolf' original Netflix content?,"Is Netflix title 'wolf' a Series, Movie, or Documentary?"
worlds most wanted,1,18,Is title 'worlds most wanted' original Netflix content?,"Is Netflix title 'worlds most wanted' a Series, Movie, or Documentary?"
bad and crazy,1,13,Is title 'bad and crazy' original Netflix content?,"Is Netflix title 'bad and crazy' a Series, Movie, or Documentary?"
chambers,1,8,Is title 'chambers' original Netflix content?,"Is Netflix title 'chambers' a Series, Movie, or Documentary?"
closer 2004,1,11,Is title 'closer 2004' original Netflix content?,"Is Netflix title 'closer 2004' a Series, Movie, or Documentary?"
ghosts of the abyss,1,19,Is title 'ghosts of the abyss' original Netflix content?,"Is Netflix title 'ghosts of the abyss' a Series, Movie, or Documentary?"
girlboss,1,8,Is title 'girlboss' original Netflix content?,"Is Netflix title 'girlboss' a Series, Movie, or Documentary?"
in the tall grass,1,17,Is title 'in the tall grass' original Netflix content?,"Is Netflix title 'in the tall grass' a Series, Movie, or Documentary?"
katla,1,5,Is title 'katla' original Netflix content?,"Is Netflix title 'katla' a Series, Movie, or Documentary?"
my girl 1991,1,12,Is title 'my girl 1991' original Netflix content?,"Is Netflix title 'my girl 1991' a Series, Movie, or Documentary?"
pirate gold of adak island,1,26,Is title 'pirate gold of adak island' original Netflix content?,"Is Netflix title 'pirate gold of adak island' a Series, Movie, or Documentary?"
pitch black,1,11,Is title 'pitch black' original Netflix content?,"Is Netflix title 'pitch black' a Series, Movie, or Documentary?"
pitch perfect 2,1,15,Is title 'pitch perfect 2' original Netflix content?,"Is Netflix title 'pitch perfect 2' a Series, Movie, or Documentary?"
royalteen  royalteen arvingen,1,29,Is title 'royalteen  royalteen arvingen' original Netflix content?,"Is Netflix title 'royalteen  royalteen arvingen' a Series, Movie, or Documentary?"
selling the oc,1,14,Is title 'selling the oc' original Netflix content?,"Is Netflix title 'selling the oc' a Series, Movie, or Documentary?"
surviving death limited series,1,30,Is title 'surviving death limited series' original Netflix content?,"Is Netflix title 'surviving death limited series' a Series, Movie, or Documentary?"
the 2nd,1,7,Is title 'the 2nd' original Netflix content?,"Is Netflix title 'the 2nd' a Series, Movie, or Documentary?"
the babysitter,1,14,Is title 'the babysitter' original Netflix content?,"Is Netflix title 'the babysitter' a Series, Movie, or Documentary?"
the hidden lives of pets,1,24,Is title 'the hidden lives of pets' original Netflix content?,"Is Netflix title 'the hidden lives of pets' a Series, Movie, or Documentary?"
the valhalla murders,1,20,Is title 'the valhalla murders' original Netflix content?,"Is Netflix title 'the valhalla murders' a Series, Movie, or Documentary?"
trotro,1,6,Is title 'trotro' original Netflix content?,"Is Netflix title 'trotro' a Series, Movie, or Documentary?"
uncoupled,1,9,Is title 'uncoupled' original Netflix content?,"Is Netflix title 'uncoupled' a Series, Movie, or Documentary?"
virupaksha,1,10,Is title 'virupaksha' original Netflix content?,"Is Netflix title 'virupaksha' a Series, Movie, or Documentary?"
all hail king julien exiled,1,27,Is title 'all hail king julien exiled' original Netflix content?,"Is Netflix title 'all hail king julien exiled' a Series, Movie, or Documentary?"
under fire,1,10,Is title 'under fire' original Netflix content?,"Is Netflix title 'under fire' a Series, Movie, or Documentary?"
american murder the family next door,1,36,Is title 'american murder the family next door' original Netflix content?,"Is Netflix title 'american murder the family next door' a Series, Movie, or Documentary?"
aqu no hay quien viva 2003 temporada 5,1,38,Is title 'aqu no hay quien viva 2003 temporada 5' original Netflix content?,"Is Netflix title 'aqu no hay quien viva 2003 temporada 5' a Series, Movie, or Documentary?"
everything calls for salvation,1,30,Is title 'everything calls for salvation' original Netflix content?,"Is Netflix title 'everything calls for salvation' a Series, Movie, or Documentary?"
the secret of the greco family,1,30,Is title 'the secret of the greco family' original Netflix content?,"Is Netflix title 'the secret of the greco family' a Series, Movie, or Documentary?"
this is the end 2013,1,20,Is title 'this is the end 2013' original Netflix content?,"Is Netflix title 'this is the end 2013' a Series, Movie, or Documentary?"
true and the rainbow kingdom wild wild yetis,1,44,Is title 'true and the rainbow kingdom wild wild yetis' original Netflix content?,"Is Netflix title 'true and the rainbow kingdom wild wild yetis' a Series, Movie, or Documentary?"
true wonderful wishes,1,21,Is title 'true wonderful wishes' original Netflix content?,"Is Netflix title 'true wonderful wishes' a Series, Movie, or Documentary?"
whos a good boy  el guau,1,24,Is title 'whos a good boy  el guau' original Netflix content?,"Is Netflix title 'whos a good boy  el guau' a Series, Movie, or Documentary?"
anna 2019,1,9,Is title 'anna 2019' original Netflix content?,"Is Netflix title 'anna 2019' a Series, Movie, or Documentary?"
another miss oh,1,15,Is title 'another miss oh' original Netflix content?,"Is Netflix title 'another miss oh' a Series, Movie, or Documentary?"
barbie princess adventure,1,25,Is title 'barbie princess adventure' original Netflix content?,"Is Netflix title 'barbie princess adventure' a Series, Movie, or Documentary?"
cathedral of the sea,1,20,Is title 'cathedral of the sea' original Netflix content?,"Is Netflix title 'cathedral of the sea' a Series, Movie, or Documentary?"
clark limited series,1,20,Is title 'clark limited series' original Netflix content?,"Is Netflix title 'clark limited series' a Series, Movie, or Documentary?"
dasara,1,6,Is title 'dasara' original Netflix content?,"Is Netflix title 'dasara' a Series, Movie, or Documentary?"
django unchained,1,16,Is title 'django unchained' original Netflix content?,"Is Netflix title 'django unchained' a Series, Movie, or Documentary?"
dune 2021,1,9,Is title 'dune 2021' original Netflix content?,"Is Netflix title 'dune 2021' a Series, Movie, or Documentary?"
fakes,1,5,Is title 'fakes' original Netflix content?,"Is Netflix title 'fakes' a Series, Movie, or Documentary?"
gangubai kathiawadi,1,19,Is title 'gangubai kathiawadi' original Netflix content?,"Is Netflix title 'gangubai kathiawadi' a Series, Movie, or Documentary?"
inside the mind of a cat,1,24,Is title 'inside the mind of a cat' original Netflix content?,"Is Netflix title 'inside the mind of a cat' a Series, Movie, or Documentary?"
kengan ashura part ll   1 ii,1,28,Is title 'kengan ashura part ll   1 ii' original Netflix content?,"Is Netflix title 'kengan ashura part ll   1 ii' a Series, Movie, or Documentary?"
one piece wano country ep1001      1001,1,39,Is title 'one piece wano country ep1001      1001' original Netflix content?,"Is Netflix title 'one piece wano country ep1001      1001' a Series, Movie, or Documentary?"
pucca love recipe,1,17,Is title 'pucca love recipe' original Netflix content?,"Is Netflix title 'pucca love recipe' a Series, Movie, or Documentary?"
pulp fiction,1,12,Is title 'pulp fiction' original Netflix content?,"Is Netflix title 'pulp fiction' a Series, Movie, or Documentary?"
scent of a woman 1992,1,21,Is title 'scent of a woman 1992' original Netflix content?,"Is Netflix title 'scent of a woman 1992' a Series, Movie, or Documentary?"
sell your haunted house,1,23,Is title 'sell your haunted house' original Netflix content?,"Is Netflix title 'sell your haunted house' a Series, Movie, or Documentary?"
spanglish,1,9,Is title 'spanglish' original Netflix content?,"Is Netflix title 'spanglish' a Series, Movie, or Documentary?"
the dirt,1,8,Is title 'the dirt' original Netflix content?,"Is Netflix title 'the dirt' a Series, Movie, or Documentary?"
the elephant whisperers,1,23,Is title 'the elephant whisperers' original Netflix content?,"Is Netflix title 'the elephant whisperers' a Series, Movie, or Documentary?"
the pirates the last royal treasure,1,35,Is title 'the pirates the last royal treasure' original Netflix content?,"Is Netflix title 'the pirates the last royal treasure' a Series, Movie, or Documentary?"
the light in your eyes,1,22,Is title 'the light in your eyes' original Netflix content?,"Is Netflix title 'the light in your eyes' a Series, Movie, or Documentary?"
the imitation game 2014,1,23,Is title 'the imitation game 2014' original Netflix content?,"Is Netflix title 'the imitation game 2014' a Series, Movie, or Documentary?"
the clovehitch killer,1,21,Is title 'the clovehitch killer' original Netflix content?,"Is Netflix title 'the clovehitch killer' a Series, Movie, or Documentary?"
just mercy,1,10,Is title 'just mercy' original Netflix content?,"Is Netflix title 'just mercy' a Series, Movie, or Documentary?"
kuttey,1,6,Is title 'kuttey' original Netflix content?,"Is Netflix title 'kuttey' a Series, Movie, or Documentary?"
living with yourself,1,20,Is title 'living with yourself' original Netflix content?,"Is Netflix title 'living with yourself' a Series, Movie, or Documentary?"
love hard,1,9,Is title 'love hard' original Netflix content?,"Is Netflix title 'love hard' a Series, Movie, or Documentary?"
malibu rescue the series,1,24,Is title 'malibu rescue the series' original Netflix content?,"Is Netflix title 'malibu rescue the series' a Series, Movie, or Documentary?"
miniforce,1,9,Is title 'miniforce' original Netflix content?,"Is Netflix title 'miniforce' a Series, Movie, or Documentary?"
now we are breaking up,1,22,Is title 'now we are breaking up' original Netflix content?,"Is Netflix title 'now we are breaking up' a Series, Movie, or Documentary?"
ps i love you,1,13,Is title 'ps i love you' original Netflix content?,"Is Netflix title 'ps i love you' a Series, Movie, or Documentary?"
riverdance the animated adventure,1,33,Is title 'riverdance the animated adventure' original Netflix content?,"Is Netflix title 'riverdance the animated adventure' a Series, Movie, or Documentary?"
run rabbit run,1,14,Is title 'run rabbit run' original Netflix content?,"Is Netflix title 'run rabbit run' a Series, Movie, or Documentary?"
spectral,1,8,Is title 'spectral' original Netflix content?,"Is Netflix title 'spectral' a Series, Movie, or Documentary?"
when they see us limited series,1,31,Is title 'when they see us limited series' original Netflix content?,"Is Netflix title 'when they see us limited series' a Series, Movie, or Documentary?"
the girls at the back,1,21,Is title 'the girls at the back' original Netflix content?,"Is Netflix title 'the girls at the back' a Series, Movie, or Documentary?"
working what we do all day limited series,1,41,Is title 'working what we do all day limited series' original Netflix content?,"Is Netflix title 'working what we do all day limited series' a Series, Movie, or Documentary?"
american made,1,13,Is title 'american made' original Netflix content?,"Is Netflix title 'american made' a Series, Movie, or Documentary?"
arctic 2018,1,11,Is title 'arctic 2018' original Netflix content?,"Is Netflix title 'arctic 2018' a Series, Movie, or Documentary?"
bruised,1,7,Is title 'bruised' original Netflix content?,"Is Netflix title 'bruised' a Series, Movie, or Documentary?"
capturing the killer nurse,1,26,Is title 'capturing the killer nurse' original Netflix content?,"Is Netflix title 'capturing the killer nurse' a Series, Movie, or Documentary?"
dive club,1,9,Is title 'dive club' original Netflix content?,"Is Netflix title 'dive club' a Series, Movie, or Documentary?"
fatal affair,1,12,Is title 'fatal affair' original Netflix content?,"Is Netflix title 'fatal affair' a Series, Movie, or Documentary?"
jackass 45,1,10,Is title 'jackass 45' original Netflix content?,"Is Netflix title 'jackass 45' a Series, Movie, or Documentary?"
no good nick part 1,1,19,Is title 'no good nick part 1' original Netflix content?,"Is Netflix title 'no good nick part 1' a Series, Movie, or Documentary?"
rich in love  ricos de amor,1,27,Is title 'rich in love  ricos de amor' original Netflix content?,"Is Netflix title 'rich in love  ricos de amor' a Series, Movie, or Documentary?"
the conjuring,1,13,Is title 'the conjuring' original Netflix content?,"Is Netflix title 'the conjuring' a Series, Movie, or Documentary?"
unsolved mysteries volume 2,1,27,Is title 'unsolved mysteries volume 2' original Netflix content?,"Is Netflix title 'unsolved mysteries volume 2' a Series, Movie, or Documentary?"
triple 9,1,8,Is title 'triple 9' original Netflix content?,"Is Netflix title 'triple 9' a Series, Movie, or Documentary?"
the perfect family  la familia perfecta,1,39,Is title 'the perfect family  la familia perfecta' original Netflix content?,"Is Netflix title 'the perfect family  la familia perfecta' a Series, Movie, or Documentary?"
the last kids on earth book 3,1,29,Is title 'the last kids on earth book 3' original Netflix content?,"Is Netflix title 'the last kids on earth book 3' a Series, Movie, or Documentary?"
put your head on my shoulder,1,28,Is title 'put your head on my shoulder' original Netflix content?,"Is Netflix title 'put your head on my shoulder' a Series, Movie, or Documentary?"
security 2017,1,13,Is title 'security 2017' original Netflix content?,"Is Netflix title 'security 2017' a Series, Movie, or Documentary?"
the mess you leave behind limited series  el desorden que dejas miniserie,1,73,Is title 'the mess you leave behind limited series  el desorden que dejas miniserie' original Netflix content?,"Is Netflix title 'the mess you leave behind limited series  el desorden que dejas miniserie' a Series, Movie, or Documentary?"
the soccer football movie,1,25,Is title 'the soccer football movie' original Netflix content?,"Is Netflix title 'the soccer football movie' a Series, Movie, or Documentary?"
the wedding year,1,16,Is title 'the wedding year' original Netflix content?,"Is Netflix title 'the wedding year' a Series, Movie, or Documentary?"
there will be blood,1,19,Is title 'there will be blood' original Netflix content?,"Is Netflix title 'there will be blood' a Series, Movie, or Documentary?"
thunivu,1,7,Is title 'thunivu' original Netflix content?,"Is Netflix title 'thunivu' a Series, Movie, or Documentary?"
toscana,1,7,Is title 'toscana' original Netflix content?,"Is Netflix title 'toscana' a Series, Movie, or Documentary?"
addicted 2014,1,13,Is title 'addicted 2014' original Netflix content?,"Is Netflix title 'addicted 2014' a Series, Movie, or Documentary?"
blood sex  royalty,1,18,Is title 'blood sex  royalty' original Netflix content?,"Is Netflix title 'blood sex  royalty' a Series, Movie, or Documentary?"
charlies angels 2019,1,20,Is title 'charlies angels 2019' original Netflix content?,"Is Netflix title 'charlies angels 2019' a Series, Movie, or Documentary?"
chicago party aunt part 2,1,25,Is title 'chicago party aunt part 2' original Netflix content?,"Is Netflix title 'chicago party aunt part 2' a Series, Movie, or Documentary?"
chicken run,1,11,Is title 'chicken run' original Netflix content?,"Is Netflix title 'chicken run' a Series, Movie, or Documentary?"
conversations with a killer the john wayne gacy tapes limited series,1,68,Is title 'conversations with a killer the john wayne gacy tapes limited series' original Netflix content?,"Is Netflix title 'conversations with a killer the john wayne gacy tapes limited series' a Series, Movie, or Documentary?"
copenhagen cowboy,1,17,Is title 'copenhagen cowboy' original Netflix content?,"Is Netflix title 'copenhagen cowboy' a Series, Movie, or Documentary?"
delete,1,6,Is title 'delete' original Netflix content?,"Is Netflix title 'delete' a Series, Movie, or Documentary?"
hye mi lee ye chae pa,1,21,Is title 'hye mi lee ye chae pa' original Netflix content?,"Is Netflix title 'hye mi lee ye chae pa' a Series, Movie, or Documentary?"
nak,1,3,Is title 'nak' original Netflix content?,"Is Netflix title 'nak' a Series, Movie, or Documentary?"
one piece tv original 1   tv,1,28,Is title 'one piece tv original 1   tv' original Netflix content?,"Is Netflix title 'one piece tv original 1   tv' a Series, Movie, or Documentary?"
otherhood,1,9,Is title 'otherhood' original Netflix content?,"Is Netflix title 'otherhood' a Series, Movie, or Documentary?"
quicksand limited series  strst av allt miniserie,1,49,Is title 'quicksand limited series  strst av allt miniserie' original Netflix content?,"Is Netflix title 'quicksand limited series  strst av allt miniserie' a Series, Movie, or Documentary?"
restless  sans rpit,1,19,Is title 'restless  sans rpit' original Netflix content?,"Is Netflix title 'restless  sans rpit' a Series, Movie, or Documentary?"
ricky zoom,1,10,Is title 'ricky zoom' original Netflix content?,"Is Netflix title 'ricky zoom' a Series, Movie, or Documentary?"
secret obsession,1,16,Is title 'secret obsession' original Netflix content?,"Is Netflix title 'secret obsession' a Series, Movie, or Documentary?"
the blind side,1,14,Is title 'the blind side' original Netflix content?,"Is Netflix title 'the blind side' a Series, Movie, or Documentary?"
notting hill,1,12,Is title 'notting hill' original Netflix content?,"Is Netflix title 'notting hill' a Series, Movie, or Documentary?"
no one gets out alive,1,21,Is title 'no one gets out alive' original Netflix content?,"Is Netflix title 'no one gets out alive' a Series, Movie, or Documentary?"
my neighbor totoro,1,18,Is title 'my neighbor totoro' original Netflix content?,"Is Netflix title 'my neighbor totoro' a Series, Movie, or Documentary?"
when the camellia blooms,1,24,Is title 'when the camellia blooms' original Netflix content?,"Is Netflix title 'when the camellia blooms' a Series, Movie, or Documentary?"
my golden life,1,14,Is title 'my golden life' original Netflix content?,"Is Netflix title 'my golden life' a Series, Movie, or Documentary?"
pedal to metal,1,14,Is title 'pedal to metal' original Netflix content?,"Is Netflix title 'pedal to metal' a Series, Movie, or Documentary?"
pokmon master journeys the series part 3,1,40,Is title 'pokmon master journeys the series part 3' original Netflix content?,"Is Netflix title 'pokmon master journeys the series part 3' a Series, Movie, or Documentary?"
ride along 2,1,12,Is title 'ride along 2' original Netflix content?,"Is Netflix title 'ride along 2' a Series, Movie, or Documentary?"
savage beauty,1,13,Is title 'savage beauty' original Netflix content?,"Is Netflix title 'savage beauty' a Series, Movie, or Documentary?"
the ranch part 7,1,16,Is title 'the ranch part 7' original Netflix content?,"Is Netflix title 'the ranch part 7' a Series, Movie, or Documentary?"
the secret dare to dream,1,24,Is title 'the secret dare to dream' original Netflix content?,"Is Netflix title 'the secret dare to dream' a Series, Movie, or Documentary?"
the starling,1,12,Is title 'the starling' original Netflix content?,"Is Netflix title 'the starling' a Series, Movie, or Documentary?"
the wedding date,1,16,Is title 'the wedding date' original Netflix content?,"Is Netflix title 'the wedding date' a Series, Movie, or Documentary?"
wave makers,1,11,Is title 'wave makers' original Netflix content?,"Is Netflix title 'wave makers' a Series, Movie, or Documentary?"
we lost our human,1,17,Is title 'we lost our human' original Netflix content?,"Is Netflix title 'we lost our human' a Series, Movie, or Documentary?"
white lines,1,11,Is title 'white lines' original Netflix content?,"Is Netflix title 'white lines' a Series, Movie, or Documentary?"
mister trot,1,11,Is title 'mister trot' original Netflix content?,"Is Netflix title 'mister trot' a Series, Movie, or Documentary?"
a walk among the tombstones,1,27,Is title 'a walk among the tombstones' original Netflix content?,"Is Netflix title 'a walk among the tombstones' a Series, Movie, or Documentary?"
city of god  cidade de deus,1,27,Is title 'city of god  cidade de deus' original Netflix content?,"Is Netflix title 'city of god  cidade de deus' a Series, Movie, or Documentary?"
elite squad  tropa de elite,1,27,Is title 'elite squad  tropa de elite' original Netflix content?,"Is Netflix title 'elite squad  tropa de elite' a Series, Movie, or Documentary?"
escape room tournament of champions,1,35,Is title 'escape room tournament of champions' original Netflix content?,"Is Netflix title 'escape room tournament of champions' a Series, Movie, or Documentary?"
game over man,1,13,Is title 'game over man' original Netflix content?,"Is Netflix title 'game over man' a Series, Movie, or Documentary?"
human playground,1,16,Is title 'human playground' original Netflix content?,"Is Netflix title 'human playground' a Series, Movie, or Documentary?"
i now pronounce you chuck and larry,1,35,Is title 'i now pronounce you chuck and larry' original Netflix content?,"Is Netflix title 'i now pronounce you chuck and larry' a Series, Movie, or Documentary?"
la caza,1,7,Is title 'la caza' original Netflix content?,"Is Netflix title 'la caza' a Series, Movie, or Documentary?"
